 Biopharma  Biotechnology  Pharmaceutical ,,https://www.google.com/finance?q=TLV:DPRM http://www.dpharm.com/ https://www.google.com/finance?q=TLV:DPRM https://www.google.com/finance?q=TLV:DPRM ,"D-Pharm (TASE: DPRM) is a drug-development company focused on innovative drugs for the treatment of central nervous system (CNS) conditions. The Company’s particular area of interest is in developing innovative medicine for degenerative and age-related disorders. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Medical Device , East Coast  Southern US ,http://www.drburtonhpi.com/ https://www.facebook.com/DRBurton/?fref=ts https://www.linkedin.com/company/12175581/ ,"D R Burton Healthcare Products LLC, innovators in medical devices, was founded by clinicians with deep expertise in respiratory care. Together we design, develop and market medical device products that allow patients to heal faster and provide value to our partners and consumers. Our unique clinical perspective drives our unwavering commitment to provide clinicians and their patients with a world class user experience. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Pharmaceutical , Southern US ,,"<a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care  Medical , Greater Detroit Area  Great Lakes  Midwestern US ,,"D1 Healthcare operates as a healthcare company. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care , Southern US ,http://www.d1sportsmedicine.com/ https://www.facebook.com/teamexos https://www.twitter.com/teamexos https://www.twitter.com/teamexos ,"D1 Sports Medicine partners include leading area physicians who provide an elite standard of medical care and rehabilitation. These specialties include hand, spine, and total joint replacement therapy, functional capacity evaluations and work comp specific rehab protocols. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Fitness  Sports  Wellness , Southern US ,https://www.d1sportstraining.com https://www.facebook.com/pg/D1Sports https://www.linkedin.com/company/d1-sports-training https://twitter.com/D1Sports https://twitter.com/D1Sports ,"<a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Biotechnology  Life Science , Asia-Pacific (APAC)  Australasia ,http://www.d3medicine.com/ ,"d3 Medicine Pty Ltd provides research and advisory services for drug development. The company was incorporated in 2015 and is based in Parkville, Australia. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care  Health Diagnostics , European Union (EU) ,,"D3 Technologies Ltd. is a molecular diagnostics company which uses the highly selective and sensitive techniques of surface enhanced Raman scattering (SERS) and surface enhanced resonance Raman scattering (SERRS) to produce diagnostic products with superior detection capability. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Biotechnology  Therapeutics , San Francisco Bay Area  Silicon Valley  West Coast ,,"DaZen Theranostics Inc. is a start-up company, to develop a product that can target cancer cells, function as a contrast agent to improve the visibility of cancer cells during diagnostic imaging and deliver a therapeutic drug to destroy cancerous cells. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Fitness  Health Care  Nutrition  Sports  Wellness , Asia-Pacific (APAC) ,http://www.daaki.com/ https://www.facebook.com/DAAKIsport/ https://www.linkedin.com/company/daaki/ https://twitter.com/daakiofficial?lang=en https://twitter.com/daakiofficial?lang=en ,"DAAKI is a Premium Sports Supplement brand. They design, manufacture & market custom-made supplements. DAAKI brings a tangible difference to the supplement design and manufacturing standards. These are supplements that will help you to bring the real genius inside. Something with which you can explore new athletic standards; set new records.  <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care ,,https://www.dabadoc.com https://www.facebook.com/dabadoc http://www.linkedin.com/company/3355964 https://www.twitter.com/dabadoc https://www.twitter.com/dabadoc ,"DabaDoc connects millions of patients with thousands of doctors across Africa. It radically enhances the doctor discovery process and provides various solutions to help patients find the right care, from locating and instantly booking a reputable doctor nearby, to having a free health chat with a doctor, to having an online consultation with a trusted health professional. For doctors, DabaDoc champions a new way to manage their practice, communicate with their patients, store records securely and optimize their schedule to continuously provide care or fill in last minute cancellations. DabaDoc is free for patients and available in Morocco, Tunisia, Algeria, Nigeria and South Africa. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Children  Food and Beverage  Nutrition , Asia-Pacific (APAC) ,http://www.dabbadoo.in ,"Studies show that in India, nearly 15-20% of children are overweight + 30% are in the risk of falling in this category. With women playing a pivotal role in the Indian workforce, the lack of their available time results in compromising decisions made in a child's lunchbox. Enter Dabbadoo.  An Internet-first kitchen which delivers wholesome meals either home or directly to the school. Designed by expert nutritionists, cooked in our hygienic commercial kitchen and delivered to the child just in time for school.  Our product:  + Single-course meals designed with a balanced nutrient approach apt for growing children - e.g.:black bean falafel in whole wheat wraps + Prepared with locally sourced ingredients from trusted vendors  + Scalable recipe management system introduces meals which are time-efficient, templatises the production process <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Artificial Intelligence  Natural Language Processing  Neuroscience  Search Engine , Greater New York Area  East Coast  Northeastern US ,http://www.Dabizmo.com https://www.linkedin.com/company/dabizmo-inc- http://twitter.com/dabizmo http://twitter.com/dabizmo ,"Dabizmo is a next-generation business information terminal that offers real-time news and insight. It was founded by Abhishek Mehta. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care  Information Services  Information Technology  Medical Device  Software , European Union (EU) ,http://www.dabl.ie/en/default.aspx https://www.linkedin.com/company-beta/275494/ https://twitter.com/dablhealth https://twitter.com/dablhealth ,"dabl is a cardiovascular disease management systems platform. It was founded in 2000. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care  Information Technology , San Francisco Bay Area  West Coast  Western US ,http://dabohealth.com http://twitter.com/DaboHealth http://twitter.com/DaboHealth ,"Dabo Health provides the healthcare community a free platform to view and track improvement in key performance metrics, to collaborate across hospitals and healthcare systems, and to identify and share evidence based best practices in order to save lives. In the era of Big Data, we enlighten individuals, organizations and industries and empower fundamental change at all levels. By combining human-powered insights with raw, objective data, we inform confident decisions and drive efficiencies. Ours is a system that rewards collaboration with innovative ideas that are integral to the progression of humanity. We call it “The Power of Collective Intelligence.” We channel this shared knowledge of passionate professionals to empower progress. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care ,,http://dabrowscy.info ,"Dabrowski is a mobile apps developing company. It has developed medical applications like aAnesthesi <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Dental ,,http://www.daburdentalcare.com/ https://www.facebook.com/daburdentalcare https://www.twitter.com/ddc_india https://www.twitter.com/ddc_india ,"<a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Beauty  Fast-Moving Consumer Goods  Fruit  Health Care , Asia-Pacific (APAC) ,https://www.google.com/finance?q=NSE:DABUR http://www.dabur.com/ https://www.facebook.com/daburindia https://www.linkedin.com/company/7203 https://www.twitter.com/daburindia https://www.google.com/finance?q=NSE:DABUR https://www.google.com/finance?q=NSE:DABUR https://www.twitter.com/daburindia ,"Dabur India Ltd is one of India’s leading FMCG Companies with Revenues of over Rs 7,806.4 Crore & Market Capitalisation of US $5 Billion. Building on a legacy of quality and experience of over 131 years, Dabur is today India’s most trusted name and the world’s largest Ayurvedic and Natural Health Care Company.  Dabur India is also a world leader in Ayurveda with a portfolio of over 250 Herbal/Ayurvedic products. Dabur's FMCG portfolio today includes five flagship brands with distinct brand identities -- Dabur as the master brand for natural healthcare products, Vatika for premium personal care, Hajmola for digestives, Réal for fruit juices and beverages and Fem for fairness bleaches and skin care products. Dabur today operates in key consumer products categories like Hair Care, Oral Care, Health Care, Skin Care, Home Care and Foods. The company has a wide distribution network, covering over 5.8 million retail outlets with a high penetration in both urban and rural markets. Dabur's products also have a huge presence in the overseas markets and are today available in over 60 countries across the globe. Its brands are highly popular in the Middle East, SAARC countries, Africa, US, Europe and Russia. Dabur's overseas revenue today accounts for over 30% of the total turnover.. The 130-year-old company, promoted by the Burman family, had started operations in 1884 as an Ayurvedic medicines company. From its humble beginnings in the bylanes of Calcutta, Dabur India Ltd has come a long way today to become one of the biggest Indian-owned consumer goods companies with the largest herbal and natural product portfolio in the world. Overall, Dabur has successfully transformed itself from being a family-run business to become a professionally managed enterprise. What sets Dabur apart from the crowd is its ability to change ahead of others and to always set new standards in corporate governance & innovation. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care  Manufacturing  Medical , Dallas/Fort Worth Metroplex  Southern US ,https://www.dactechnologies.com https://www.linkedin.com/company/dac-vision/?originalSubdomain=in ,"DAC Technologies is the manufacturer and provider of ophthalmic lens processing supplies and source for a complete range of lens processing equipment. We offer a complete line of innovative high-quality consumable supplies for surfacing, coating and finishing all lens materials. Our extensive range of products – combined with considerable processing experience – enables us to present technical solutions that increase yields while enhancing profitability for our customers. DAC Technologies'​ products are designed and tested to work as a system – providing superior quality with consistent results. In short, we listen to our customers – as a consequence, product development is our passion. With over sixty years of industry experience, supported by unsurpassed customer service – our customers are assured of having a reliable partner for all consumable processing needs. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
